id,filename,ident,name,type,frequency_khz,latitude_deg,longitude_deg,elevation_ft,iso_country,dme_frequency_khz,dme_channel,dme_latitude_deg,dme_longitude_deg,dme_elevation_ft,slaved_variation_deg,magnetic_variation_deg,usageType,power,associated_airport
85293,Anson_Co_NDB_US,AFP,Anson Co,NDB,283,35.02399826,-80.08300018,302,US,,,,,,,-7.328,TERMINAL,LOW,
85300,Bushe_NDB_US,AG,Bushe,NDB,233,33.28689957,-81.94689941,,US,,,,,,,-5.48,TERMINAL,LOW,KAGS
85302,Allegheny_VOR-DME_US,AGC,Allegheny,VOR-DME,110000,40.27870178,-80.04090118,1290,US,110000,037X,,,,-9.004,-8.553,LO,MEDIUM,
85316,Wagner_NDB_US,AGZ,Wagner,NDB,392,43.0625,-98.29229736,1462,US,,,,,,,5.315,TERMINAL,LOW,
85319,Amedee_VOR-DME_US,AHC,Amedee,VOR-DME,109000,40.26789856,-120.1520004,4028,US,109000,027X,,,,17.001,15.017,TERMINAL,LOW,
85320,Ameron_NDB_US,AHH,Ameron,NDB,278,45.28139877,-92.37129974,1080,US,,,,,,,0.248,TERMINAL,LOW,
85321,Athens_VORTAC_US,AHN,Athens,VORTAC,109600,33.94760132,-83.32479858,790,US,109600,033X,,,,0.001,-4.57,BOTH,MEDIUM,KAHN
85323,Wahoo_NDB_US,AHQ,Wahoo,NDB,400,41.23920059,-96.5983963,1221,US,,,,,,,4.189,TERMINAL,LOW,
85325,Amchitka_NDB-DME_US,AHT,Amchitka,NDB-DME,379,51.37969971,-179.2579956,221,US,113200,079X,,,,,5.106,BOTH,LOW,
85326,Athens_NDB_US,AHX,Athens,NDB,269,32.15930176,-95.8302002,440,US,,,,,,,4.054,TERMINAL,LOW,
85331,Video_NDB_US,AI,Video,NDB,371,40.06949997,-85.51069641,970,US,,,,,,,-4.299,TERMINAL,LOW,
85332,Addmo_NDB_US,AI,Addmo,NDB,400,34.23239899,-96.93309784,715,US,,,,,,,4.436,LO,LOW,
85333,Alliance_VOR-DME_US,AIA,Alliance,VOR-DME,111800,42.05559921,-102.8040009,3925,US,111800,055X,,,,11.001,8.342,LO,MEDIUM,
85334,Antigo_NDB_US,AIG,Antigo,NDB,347,45.15859985,-89.11380005,1518,US,,,,,,,-2.322,TERMINAL,LOW,
85335,Aiken_NDB_US,AIK,Aiken,NDB,347,33.65179825,-81.67710114,530,US,,,,,,,-6.043,TERMINAL,LOW,
85337,Atlantic_NDB_US,AIO,Atlantic,NDB,365,41.40399933,-95.0463028,1153,US,,,,,,,3.072,LO,LOW,
85338,Bellaire_VOR-DME_US,AIR,Bellaire,VOR-DME,117100,40.01699829,-80.81729889,1290,US,117100,118X,,,,-7.01,-8.152,BOTH,HIGH,
85339,Aitkin_NDB_US,AIT,Aitkin,NDB,397,46.54750061,-93.67520142,1207,US,,,,,,,1.236,TERMINAL,LOW,
85340,Aliceville_NDB_US,AIV,Aliceville,NDB,254,33.11399841,-88.18560028,,US,,,,,,,-1.11,LO,LOW,KAIV
85341,Nanwak_NDB-DME_US,AIX,Nanwak,NDB-DME,323,60.38499832,-166.2149963,33,US,112900,076X,,,,,12.32,LO,MEDIUM,PAMY
85342,Kaiser_NDB_US,AIZ,Kaiser,NDB,377,38.09659958,-92.55310059,863,US,,,,,,,1.29,TERMINAL,LOW,
85350,Mt_Carmel_NDB_US,AJG,Mt Carmel,NDB,524,38.61199951,-87.72609711,430,US,,,,,,,-2.235,LO,LOW,
85352,Habersham_NDB_US,AJR,Habersham,NDB,347,34.50149918,-83.54989624,1462,US,,,,,,,-4.518,TERMINAL,LOW,
85353,Andri_NDB_US,AJW,Andri,NDB,281,45.79169846,-95.30549622,1404,US,,,,,,,2.568,TERMINAL,LOW,
85354,Ash_Flat_NDB_US,AJX,Ash Flat,NDB,344,36.18059921,-91.6065979,815,US,,,,,,,0.579,TERMINAL,LOW,
85361,Saldo_NDB_US,AK,Saldo,NDB,355,58.73720169,-156.7779999,,US,,,,,,,16.435,BOTH,MEDIUM,PAKN
85362,Akron_NDB_US,AK,Akron,NDB,362,41.06980133,-81.38749695,,US,,,,,,,-8.065,TERMINAL,LOW,
85370,Haskell_NDB_US,AKL,Haskell,NDB,407,33.19110107,-99.72000122,1622,US,,,,,,,6.212,LO,LOW,
85371,King_Salmon_VORTAC_US,AKN,King Salmon,VORTAC,112800,58.72470093,-156.7519989,89,US,112800,075X,,,,21.001,16.44,BOTH,HIGH,PAKN
85372,Akron_VOR-DME_US,AKO,Akron,VOR-DME,114400,40.1556015,-103.1800003,4620,US,114400,091X,,,,13.001,8.391,LO,HIGH,
85373,Anaktuvuk_Pass_NDB_US,AKP,Anaktuvuk Pass,NDB,348,68.13659668,-151.7440033,2085,US,,,,,,,22.018,LO,LOW,PAKP
85374,Wakefield_NDB_US,AKQ,Wakefield,NDB,274,36.98320007,-77.00109863,115,US,,,,,,,-10.104,TERMINAL,LOW,
85380,Klawock_NDB-DME_US,AKW,Klawock,NDB-DME,229,55.5685997,-133.0789948,30,US,115800,105X,,,,,21.455,TERMINAL,MEDIUM,PAKW
85389,Price_NDB_US,AL,Price,NDB,382,42.62220001,-92.50939941,921,US,,,,,,,0.56,TERMINAL,LOW,KALO
85390,Trina_NDB_US,AL,Trina,NDB,353,46.17549896,-118.1959991,,US,,,,,,,16.139,TERMINAL,MEDIUM,KALW
85391,Hawky_NDB_US,AL,Hawky,NDB,219,42.81729889,-73.81060028,,US,,,,,,,-14.018,TERMINAL,LOW,KALB
85392,Alpos_NDB_US,AL,Alpos,NDB,218,38.85509872,-89.9382019,,US,,,,,,,-0.391,TERMINAL,LOW,KALN
85394,Albany_VORTAC_US,ALB,Albany,VORTAC,115300,42.74720001,-73.80319977,275,US,115300,100X,,,,-13.004,-14.006,BOTH,MEDIUM,KALB
85399,Allendale_VOR_US,ALD,Allendale,VOR,116700,33.01250076,-81.29219818,190,US,,,,,,-1.001,-6.129,LO,MEDIUM,
85408,Alice_VOR_US,ALI,Alice,VOR,114500,27.7397995,-98.02130127,170,US,,,,,,6.012,5.234,LO,MEDIUM,KALI
85411,Orca_Bay_NDB_US,ALJ,Orca Bay,NDB,233,60.47980118,-146.5870056,31,US,,,,,,,21.141,BOTH,MEDIUM,PANC
85417,Waterloo_VORTAC_US,ALO,Waterloo,VORTAC,112200,42.55649948,-92.39890289,865,US,112200,059X,,,,6.001,0.509,BOTH,HIGH,KALO
85419,Alpine_NDB_US,ALP,Alpine,NDB,245,42.23870087,-76.76399994,,US,,,,,,,-11.555,TERMINAL,LOW,KELM
85422,Alamosa_VORTAC_US,ALS,Alamosa,VORTAC,113900,37.3492012,-105.8160019,7535,US,113900,086X,,,,13.001,9.45,BOTH,HIGH,
85426,Alliance_NDB_US,ALU,Alliance,NDB,380,42.04320145,-102.7990036,3923,US,,,,,,,8.34,TERMINAL,LOW,
85427,Walla_Walla_VOR-DME_US,ALW,Walla Walla,VOR-DME,116400,46.0870018,-118.2929993,1150,US,116400,111X,,,,20.001,16.139,LO,MEDIUM,KALW
85438,Picny_NDB_US,AM,Picny,NDB,388,27.86120033,-82.54579926,,US,,,,,,,-4.198,TERMINAL,MEDIUM,
85439,Pande_NDB_US,AM,Pande,NDB,251,35.14649963,-101.8050003,,US,,,,,,,7.337,TERMINAL,MEDIUM,KAMA
85449,Ambler_NDB-DME_US,AMF,Ambler,NDB-DME,403,67.10679626,-157.8580017,282,US,116100,108X,67.1062,-157.857,282,,18.303,LO,MEDIUM,PAFM
85450,Alma_VORTAC_US,AMG,Alma,VORTAC,115100,31.53650093,-82.50810242,200,US,115100,098X,,,,0.001,-5.027,BOTH,HIGH,
85452,Armel_VORTAC_US,AML,Armel,VORTAC,113500,38.93460083,-77.46669769,297,US,113500,082X,,,,-8.001,-10.239,BOTH,MEDIUM,KIAD
85459,Alma_NDB_US,AMN,Alma,NDB,329,43.32339859,-84.78520203,,US,,,,,,,-5.562,TERMINAL,LOW,
85463,West_Union_NDB_US,AMT,West Union,NDB,359,38.85589981,-83.563797,886,US,,,,,,,-5.478,TERMINAL,LOW,
85475,Alamo_NDB_US,AN,Alamo,NDB,368,29.60490036,-98.5714035,,US,,,,,,,5.406,TERMINAL,MEDIUM,KSAT
85476,Bogga_NDB_US,AN,Bogga,NDB,211,33.53440094,-85.93080139,,US,,,,,,,-2.545,TERMINAL,LOW,KANB
85477,Boing_NDB_US,AN,Boing,NDB,245,32.73989868,-117.2160034,15,US,,,,,,,12.376,TERMINAL,LOW,KSAN
85484,Anchorage_VOR-DME_US,ANC,Anchorage,VOR-DME,114300,61.1507988,-150.2070007,287,US,114300,090X,,,,25.001,20.108,BOTH,HIGH,PANC
85491,Anderson_NDB_US,AND,Anderson,NDB,230,34.49810028,-82.70850372,760,US,,,,,,,-5.308,TERMINAL,LOW,KAND
85495,Aniak_NDB_US,ANI,Aniak,NDB,359,61.59019852,-159.5980072,,US,,,,,,,16.093,BOTH,MEDIUM,PANI
85499,Annette_Island_VOR-DME_US,ANN,Annette Island,VOR-DME,117100,55.0603981,-131.5780029,174,US,117100,118X,,,,27.001,21.341,BOTH,HIGH,PANT
85502,Angola_NDB_US,ANQ,Angola,NDB,347,41.63980103,-85.0868988,982,US,,,,,,,-5.137,TERMINAL,LOW,
85503,Andrews_NDB_US,ANR,Andrews,NDB,245,32.34859848,-102.5360031,3170,US,,,,,,,7.454,LO,LOW,
85510,Anvik_NDB-DME_US,ANV,Anvik,NDB-DME,365,62.64139938,-160.1900024,358,US,112400,071X,62.6415,-160.189,358,,16.061,LO,MEDIUM,PANV
85511,Ainsworth_VOR-DME_US,ANW,Ainsworth,VOR-DME,112700,42.56909943,-99.98970032,2582,US,112700,074X,,,,9.001,6.449,LO,MEDIUM,
85513,Napoleon_VORTAC_US,ANX,Napoleon,VORTAC,114000,39.09540176,-94.12879944,878,US,114000,087X,,,,7.001,2.354,LO,MEDIUM,
85514,Anthony_VORTAC_US,ANY,Anthony,VORTAC,112900,37.15890121,-98.17070007,1390,US,112900,076X,,,,7.01,5.293,BOTH,MEDIUM,
85519,Arco_NDB_US,AOC,Arco,NDB,200,43.59899902,-113.3420029,5327,US,,,,,,,13.583,LO,LOW,
85522,Allen_Co_VOR_US,AOH,Allen Co,VOR,108400,40.70709991,-83.96820068,980,US,,,,,,-4.001,-5.554,TERMINAL,LOW,
85523,Altoona_VOR_US,AOO,Altoona,VOR,108800,40.32540131,-78.30370331,1630,US,,,,,,-7.002,-10.131,LO,MEDIUM,KAOO
85524,Antelope_NDB_US,AOP,Antelope,NDB,290,41.60419846,-109.0019989,,US,,,,,,,11.485,TERMINAL,MEDIUM,KRKS
85525,Bilmart_NDB_US,AOV,Bilmart,NDB,341,36.96979904,-92.67739868,1302,US,,,,,,,1.409,TERMINAL,LOW,
85533,Casse_NDB_US,AP,Casse,NDB,260,39.45190048,-104.8460007,6412,US,,,,,,,9.299,LO,MEDIUM,
85534,Felps_NDB_US,AP,Felps,NDB,206,44.96070099,-83.55999756,750,US,,,,,,,-7.305,TERMINAL,LOW,KAPN
85535,Vagey_NDB_US,AP,Vagey,NDB,338,44.82410049,-93.30580139,,US,,,,,,,1.19,TERMINAL,LOW,KMSP
85538,Appleton_VORTAC_US,APE,Appleton,VORTAC,116700,40.15110016,-82.58830261,1350,US,116700,114X,,,,-6.001,-6.539,BOTH,HIGH,KLCK
85539,Naples_NDB_US,APF,Naples,NDB,201,26.15570068,-81.7743988,35,US,,,,,,,-4.324,TERMINAL,LOW,
85540,Aberdeen_NDB_US,APG,Aberdeen,NDB,349,39.53509903,-76.10630035,45,US,,,,,,,-11.298,TERMINAL,LOW,KAPG
85541,A_P_Hill_NDB_US,APH,A P Hill,NDB,396,38.08779907,-77.32489777,284,US,,,,,,,-10.153,TERMINAL,LOW,
85542,Alpena_VORTAC_US,APN,Alpena,VORTAC,108800,45.08280182,-83.55699921,680,US,108800,025X,,,,-7.001,-7.332,LO,MEDIUM,KAPN
85544,Jasper_NDB_US,APT,Jasper,NDB,382,35.05960083,-85.58390045,643,US,,,,,,,-3.261,TERMINAL,LOW,
85549,Kooky_NDB_US,AQ,Kooky,NDB,407,44.21590042,-88.39900208,753,US,,,,,,,-2.579,TERMINAL,LOW,
85553,Alwood_NDB_US,AQE,Alwood,NDB,230,35.70690155,-77.37190247,,US,,,,,,,-9.354,TERMINAL,LOW,
85554,Appleton_NDB_US,AQP,Appleton,NDB,356,45.22850037,-96.0094986,1018,US,,,,,,,3.362,TERMINAL,LOW,
85565,Acadi_NDB_US,AR,Acadi,NDB,269,29.95630074,-91.86329651,6,US,,,,,,,1.424,LO,LOW,
85566,Armin_NDB_US,AR,Armin,NDB,356,41.8103981,-71.35320282,65,US,,,,,,,-15.019,TERMINAL,LOW,KPVD
85575,Yardley_VOR-DME_US,ARD,Yardley,VOR-DME,108200,40.25329971,-74.9076004,300,US,108200,019X,,,,-10.002,-12.293,BOTH,MEDIUM,KTTN
85580,Saratoga_NDB_US,ARF,Saratoga,NDB,296,34.25289917,-86.22360229,1049,US,,,,,,,-2.486,TERMINAL,LOW,
85581,Walnut_Ridge_VORTAC_US,ARG,Walnut Ridge,VORTAC,114500,36.11000061,-90.9536972,260,US,114500,092X,,,,4.001,0.292,BOTH,HIGH,
85584,Libby_TACAN_US,ARH,Libby,TACAN,111600,31.5855999,-110.3389969,4659,US,111600,053X,,,,12.001,10.418,BOTH,LOW,KFHU
85594,Wharton_NDB_US,ARM,Wharton,NDB,245,29.25460052,-96.15200043,97,US,,,,,,,4.216,TERMINAL,LOW,
85601,Watertown_VORTAC_US,ART,Watertown,VORTAC,109800,43.95199966,-76.06459808,370,US,109800,035X,,,,-12.004,-13.013,BOTH,MEDIUM,KGTB
85602,Arbor_Vitae_NDB_US,ARV,Arbor Vitae,NDB,221,45.92679977,-89.72850037,1627,US,,,,,,,-2.09,LO,MEDIUM,
85617,Chern_NDB_US,AS,Chern,NDB,359,42.82339859,-71.60209656,218,US,,,,,,,-15.158,LO,LOW,
85626,Ahoskie_NDB_US,ASJ,Ahoskie,NDB,415,36.29930115,-77.17549896,218,US,,,,,,,-9.525,TERMINAL,LOW,
85632,Au_Sable_VOR-DME_US,ASP,Au Sable,VOR-DME,116100,44.44910049,-83.39430237,627,US,116100,108X,,,,-7.001,-7.291,BOTH,HIGH,
85636,Astoria_VOR-DME_US,AST,Astoria,VOR-DME,114000,46.1617012,-123.8799973,10,US,114000,087X,,,,19.001,17.281,LO,MEDIUM,
85640,Ashland_VOR-DME_US,ASX,Ashland,VOR-DME,110200,46.54940033,-90.91719818,820,US,110200,039X,,,,2.001,-1.106,LO,LOW,
85648,Catta_NDB_US,AT,Catta,NDB,375,33.64680099,-84.542099,956,US,,,,,,,-3.576,TERMINAL,MEDIUM,KATL
85649,Gamie_NDB_US,AT,Gamie,NDB,230,44.16239929,-88.5848999,,US,,,,,,,-2.471,TERMINAL,LOW,
85650,Bruny_NDB_US,AT,Bruny,NDB,315,39.84700012,-84.33480072,934,US,,,,,,,-5.247,TERMINAL,LOW,12OH
85651,Lican_NDB_US,AT,Lican,NDB,215,44.80329895,-97.15010071,,US,,,,,,,4.345,TERMINAL,LOW,KATY
85656,Atlanta_NDB_US,ATA,Atlanta,NDB,347,33.10369873,-94.19049835,272,US,,,,,,,3.005,TERMINAL,LOW,
85663,Atqasuk_NDB_US,ATK,Atqasuk,NDB,350,70.46910095,-157.427002,93,US,,,,,,,19.494,LO,MEDIUM,PATQ
85664,Atlanta_VORTAC_US,ATL,Atlanta,VORTAC,116900,33.6291008,-84.43509674,1000,US,116900,116X,33.6246,-84.4258,1000,0.003,-4.022,BOTH,HIGH,KATL
85669,Waterloo_VOR-DME_US,ATR,Waterloo,VOR-DME,112600,38.80979919,-75.21130371,5,US,112600,073X,,,,-9.001,-11.514,BOTH,MEDIUM,
85671,Artesia_NDB_US,ATS,Artesia,NDB,414,32.8526001,-104.461998,3503,US,,,,,,,8.406,TERMINAL,LOW,
85672,Attu_NDB_US,ATU,Attu,NDB,375,52.82889938,173.1799927,40,US,,,,,,,1.079,TERMINAL,LOW,
85674,Watertown_VORTAC_US,ATY,Watertown,VORTAC,116600,44.97969818,-97.14170074,1750,US,116600,113X,,,,9.001,4.335,LO,MEDIUM,KATY
85679,Austi_NDB_US,AU,Austi,NDB,353,30.23570061,-97.6257019,,US,,,,,,,5.101,TERMINAL,LOW,
85680,Dunns_NDB_US,AU,Dunns,NDB,366,44.41080093,-69.86060333,239,US,,,,,,,-16.426,TERMINAL,LOW,
85681,Opole_NDB_US,AU,Opole,NDB,423,32.50930023,-85.43720245,,US,,,,,,,-3.081,TERMINAL,MEDIUM,KAUO
85683,Augusta_VOR-DME_US,AUG,Augusta,VOR-DME,111400,44.31999969,-69.79660034,349,US,111400,051X,,,,-18.001,-16.422,LO,MEDIUM,
85686,Aurora_NDB_US,AUH,Aurora,NDB,278,40.89250183,-97.99720001,1799,US,,,,,,,5.207,LO,LOW,
85688,Wausau_VORTAC_US,AUW,Wausau,VORTAC,111600,44.84680176,-89.58660126,1210,US,111600,053X,,,,2.001,-2.019,LO,MEDIUM,
85697,Barty_NDB_US,AV,Barty,NDB,257,41.27690125,-75.77570343,994,US,,,,,,,-12.158,TERMINAL,LOW,KAVP
85700,Avenal_VORTAC_US,AVE,Avenal,VORTAC,117100,35.64699936,-119.9789963,710,US,117100,118X,,,,16.001,13.488,BOTH,HIGH,
85703,Alva_NDB_US,AVK,Alva,NDB,203,36.77920151,-98.67120361,1474,US,,,,,,,5.482,TERMINAL,LOW,
85706,Avon_NDB_US,AVN,Avon,NDB,344,43.00989914,-77.76930237,545,US,,,,,,,-11.29,TERMINAL,LOW,KROC
85707,Marana_NDB_US,AVQ,Marana,NDB,245,32.41180038,-111.2160034,2021,US,,,,,,,11.056,LO,LOW,
85708,Travis_NDB_US,AVZ,Travis,NDB,260,32.76010132,-96.24909973,491,US,,,,,,,4.199,TERMINAL,LOW,
85709,Waton_NDB_US,AW,Waton,NDB,382,48.0760994,-122.1539993,61,US,,,,,,,17.481,TERMINAL,MEDIUM,
85711,Washington_NDB_US,AWG,Washington,NDB,219,41.27980042,-91.67259979,770,US,,,,,,,0.25,TERMINAL,LOW,
85713,West_Memphis_NDB_US,AWM,West Memphis,NDB,362,35.13940048,-90.23259735,212,US,,,,,,,0.037,TERMINAL,LOW,
85714,Lawson_NDB_US,AWS,Lawson,NDB,335,32.29320145,-85.02330017,407,US,,,,,,,-3.219,TERMINAL,LOW,KLSF
85718,Algona_NDB_US,AXA,Algona,NDB,403,43.08140182,-94.27249908,1210,US,,,,,,,2.211,TERMINAL,LOW,
87328,Decatur_VORTAC_US,AXC,Decatur,VORTAC,117200,39.7375214,-88.8564314,708,US,117200,119X,,,,3,3,BOTH,HIGH,KDEC
85722,Alexandria_VOR-DME_US,AXN,Alexandria,VOR-DME,112800,45.95840073,-95.23259735,1380,US,112800,075X,,,,7.001,2.519,LO,MEDIUM,KAXN
85730,Wiket_NDB_US,AY,Wiket,NDB,219,31.32559967,-82.39810181,108,US,,,,,,,-5.049,TERMINAL,MEDIUM,
85734,Waycross_VORTAC_US,AYS,Waycross,VORTAC,110200,31.26939964,-82.55639648,150,US,110200,039X,,,,0.001,-4.575,LO,MEDIUM,
85740,Austn_NDB_US,AZ,Austn,NDB,371,42.1310997,-85.52980042,,US,,,,,,,-4.586,TERMINAL,LOW,KAZO
85741,Colorado_City_NDB_US,AZC,Colorado City,NDB,403,36.9598999,-113.0090027,4860,US,,,,,,,12.273,LO,LOW,
85742,Hazlehurst_NDB_US,AZE,Hazlehurst,NDB,414,31.88019943,-82.6473999,240,US,,,,,,,-5.028,TERMINAL,LOW,
85743,Amazon_NDB_US,AZN,Amazon,NDB,233,39.88399887,-94.90820313,823,US,,,,,,,3.073,TERMINAL,LOW,KSTJ
85744,Kalamazoo_VOR-DME_US,AZO,Kalamazoo,VOR-DME,109000,42.23699951,-85.55319977,870,US,109000,027X,,,,-1.001,-4.59,LO,MEDIUM,KAZO
85745,Hazard_VOR-DME_US,AZQ,Hazard,VOR-DME,111200,37.3913002,-83.26300049,1247,US,111200,049X,,,,-4.001,-5.417,LO,MEDIUM,
85748,Azalea_Park_NDB_US,AZS,Azalea Park,NDB,336,38.0102005,-78.51809692,378,US,,,,,,,-9.241,TERMINAL,LOW,KCHO
85749,Mt__iAy_NDB_US,AZW,Mt  iAy,NDB,223,36.38100052,-80.54019928,1037,US,,,,,,,-7.311,,,
85776,Clifs_NDB_US,BA,Clifs,NDB,410,39.32220078,-85.8184967,700,US,,,,,,,-4.049,TERMINAL,LOW,KBAK
85777,Wesie_NDB_US,BA,Wesie,NDB,230,42.24829865,-72.69629669,,US,,,,,,,-14.281,TERMINAL,LOW,KBAF
85778,Babco_NDB_US,BA,Babco,NDB,385,44.8567009,-92.98449707,,US,,,,,,,1.017,TERMINAL,LOW,KSTP
